author,episode_number,episode_title,quote,season
Monica,1.0,Monica Gets A Roommate,"Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 a.m., ""i'll never have grandchildren, I'll never have grandchildren."" was what? A wrong number?",1.0
Joey,1.0,Monica Gets A Roommate,"Alright ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?",1.0
Joey,1.0,Monica Gets A Roommate,"Strip joint! C'mon, you're single! Have some hormones!",1.0
Ross,1.0,Monica Gets A Roommate,"I don't want to be single, okay? I just... I just- I just wanna be married again!",1.0
Chandler,1.0,Monica Gets A Roommate,And I just want a million dollars!,1.0
Rachel,1.0,Monica Gets A Roommate,"Oh god monica hi! Thank god! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!",1.0
Monica,1.0,Monica Gets A Roommate,"De-caff. Okay, everybody, this is rachel, another lincoln high survivor. This is everybody, this is chandler, and phoebe, and joey, and- you remember my brother ross?",1.0
Monica,1.0,Monica Gets A Roommate,"So you wanna tell us now, or are we waiting for four wet bridesmaids?",1.0
Rachel,1.0,Monica Gets A Roommate,"Oh god... Well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous lamauge gravy boat. When all of a sudden- sweet 'n' lo?- I realized that I was more turned on by this gravy boat than by barry! And then I got really freaked out, and that's when it hit me: how much barry looks like mr. Potato head. Y'know, I mean, I always knew looked familiar, but... Anyway, I just had to get out of there, and I started wondering 'why am I doing this, and who am I doing this for?'. So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city.",1.0
Monica,1.0,Monica Gets A Roommate,Who wasn't invited to the wedding.,1.0
Rachel,1.0,Monica Gets A Roommate,"Ooh, I was kinda hoping that wouldn't be an issue...scene: monica's apartment, everyone is there and watching a spanish soap on tv and are trying to figure out what is going on.]",1.0
Monica,1.0,Monica Gets A Roommate,"Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it.",1.0
Chandler,1.0,Monica Gets A Roommate,Tuna or egg salad? Decide!,1.0
Ross,1.0,Monica Gets A Roommate,I'll have whatever christine is having.,1.0
Rachel,1.0,Monica Gets A Roommate,"Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!",1.0
Phoebe,1.0,Monica Gets A Roommate,"If I let go of my hair, my head will fall off.",1.0
Chandler,1.0,Monica Gets A Roommate,"Ooh, she should not be wearing those pants.",1.0
Joey,1.0,Monica Gets A Roommate,I say push her down the stairs.,1.0
Phoebe,1.0,Monica Gets A Roommate,Push her down the stairs! Push her down the stairs! Push her down the stairs!,1.0
Rachel,1.0,Monica Gets A Roommate,"C'mon daddy, listen to me! It's like, it's like, all of my life, everyone has always told me, 'you're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'what if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- it's a metaphor, daddy!",1.0
Ross,1.0,Monica Gets A Roommate,You can see where he'd have trouble.,1.0
Rachel,1.0,Monica Gets A Roommate,"Look daddy, it's my life. Well maybe I'll just stay here with monica.",1.0
Monica,1.0,Monica Gets A Roommate,"Well, I guess we've established who's staying here with monica...",1.0
Rachel,1.0,Monica Gets A Roommate,"Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!",1.0
Monica,1.0,Monica Gets A Roommate,"Just breathe, breathe.. That's it. Just try to think of nice calm things...",1.0
Phoebe,1.0,Monica Gets A Roommate,"Raindrops on roses and rabbits and kittens, bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string. These are a few...",1.0
Rachel,1.0,Monica Gets A Roommate,I'm all better now.,1.0
Monica,1.0,Monica Gets A Roommate,"Okay, look, this is probably for the best, y'know? Independence. Taking control of your life. The whole, 'hat' thing.",1.0
Joey,1.0,Monica Gets A Roommate,"And hey, you need anything, you can always come to joey. Me and chandler live across the hall. And he's away a lot.",1.0
Monica,1.0,Monica Gets A Roommate,"Joey, stop hitting on her! It's her wedding day!",1.0
Joey,1.0,Monica Gets A Roommate,"What, like there's a rule or something?",1.0
Chandler,1.0,Monica Gets A Roommate,"Please don't do that again, it's a horrible sound.",1.0
Monica,1.0,Monica Gets A Roommate,"Oh god, is it 6:30? Buzz him in!",1.0
Ross,1.0,Monica Gets A Roommate,"Paul the wine guy, paul?",1.0
Monica,1.0,Monica Gets A Roommate,Maybe. Joey: wait. Your 'not a real date' tonight is with paul the wine guy?,1.0
Ross,1.0,Monica Gets A Roommate,He finally asked you out?,1.0
Chandler,1.0,Monica Gets A Roommate,"Ooh, this is a dear diary moment.",1.0
Monica,1.0,Monica Gets A Roommate,"Rach, wait, I can cancel...",1.0
Rachel,1.0,Monica Gets A Roommate,"Please, no, go, that'd be fine!",1.0
Monica,1.0,Monica Gets A Roommate,"Are, are you okay? I mean, do you want me to stay?",1.0
Ross,1.0,Monica Gets A Roommate,That'd be good...,1.0
Ross,1.0,Monica Gets A Roommate,"No, go on! It's paul the wine guy!",1.0
Phoebe,1.0,Monica Gets A Roommate,"What does that mean? Does he sell it, drink it, or just complain a lot?",1.0
Monica,1.0,Monica Gets A Roommate,"Hi, come in! Paul, this is.. ... Everybody, everybody, this is paul.",1.0
Chandler,1.0,Monica Gets A Roommate,"I'm sorry, I didn't catch your name. Paul, was it?",1.0
Monica,1.0,Monica Gets A Roommate,"Okay, umm-umm, I'll just--i'll be right back, I just gotta go ah, go ah...",1.0
Ross,1.0,Monica Gets A Roommate,A wandering?,1.0
Monica,1.0,Monica Gets A Roommate,"Change! Okay, sit down. Two seconds.",1.0
Phoebe,1.0,Monica Gets A Roommate,"Ooh, I just pulled out four eyelashes. That can't be good.",1.0
Joey,1.0,Monica Gets A Roommate,"Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red.",1.0
Monica,1.0,Monica Gets A Roommate,"Shut up, joey!",1.0
Ross,1.0,Monica Gets A Roommate,"So rachel, what're you, uh... What're you up to tonight?",1.0
Rachel,1.0,Monica Gets A Roommate,"Well, I was kinda supposed to be headed for aruba on my honeymoon, so nothing!",1.0
Ross,1.0,Monica Gets A Roommate,"Right, you're not even getting your honeymoon, god.. No, no, although, aruba, this time of year... Talk about your- -big lizards... Anyway, if you don't feel like being alone tonight, joey and chandler are coming over to help me put together my new furniture.",1.0
Chandler,1.0,Monica Gets A Roommate,"Yes, and we're very excited about it.",1.0
Rachel,1.0,Monica Gets A Roommate,"Well actually thanks, but I think I'm just gonna hang out here tonight. It's been kinda a long day.",1.0
Joey,1.0,Monica Gets A Roommate,"Hey pheebs, you wanna help?",1.0
Phoebe,1.0,Monica Gets A Roommate,"Oh, I wish I could, but I don't want to.",1.0
Phoebe,1.0,Monica Gets A Roommate,"Love is sweet as summer showers, love is a wondrous work of art, but your love oh your love, your love...is like a giant pigeon...crapping on my heart. La-la-la-la-la- thank you. La-la-la-la...ohhh!",1.0
Ross,1.0,Monica Gets A Roommate,"I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs.",1.0
Joey,1.0,Monica Gets A Roommate,I'm thinking we've got a bookcase here.,1.0
Chandler,1.0,Monica Gets A Roommate,It's a beautiful thing.,1.0
Joey,1.0,Monica Gets A Roommate,What's this?,1.0
Chandler,1.0,Monica Gets A Roommate,I would have to say that is an 'l'-shaped bracket.,1.0
Joey,1.0,Monica Gets A Roommate,Which goes where?,1.0
Chandler,1.0,Monica Gets A Roommate,I have no idea.,1.0
Joey,1.0,Monica Gets A Roommate,Done with the bookcase!,1.0
Chandler,1.0,Monica Gets A Roommate,All finished!,1.0
Ross,1.0,Monica Gets A Roommate,"This was carol's favorite beer. She always drank it out of the can, I should have known.",1.0
Joey,1.0,Monica Gets A Roommate,"Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here.",1.0
Chandler,1.0,Monica Gets A Roommate,"Yes, please don't spoil all this fun.",1.0
Joey,1.0,Monica Gets A Roommate,"Ross, let me ask you a question. She got the furniture, the stereo, the good tv- what did you get?",1.0
Joey,1.0,Monica Gets A Roommate,You got screwed.,1.0
Monica,1.0,Monica Gets A Roommate,"My brother's going through that right now, he's such a mess. How did you get through it?",1.0
Monica,1.0,Monica Gets A Roommate,"You actually broke her watch? Wow! The worst thing I ever did was, i-i shredded by boyfriend's favorite bath towel.",1.0
Monica,1.0,Monica Gets A Roommate,"That's right.scene: monica's apartment, rachel is talking on the phone and pacing.]",1.0
Rachel,1.0,Monica Gets A Roommate,"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... It isn't, it's about me, and I ju- hi, machine cut me off again... Anyway...look, look, I know that some girl is going to be incredibly lucky to become mrs. Barry finkel, but it isn't me, it's not me. And not that I have any idea who me is right now, but you just have to give me a chance too...",1.0
Ross,1.0,Monica Gets A Roommate,I'm divorced! I'm only 26 and I'm divorced!,1.0
Chandler,1.0,Monica Gets A Roommate,You must stop!,1.0
Ross,1.0,Monica Gets A Roommate,That only took me an hour.,1.0
Chandler,1.0,Monica Gets A Roommate,"Look, ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!",1.0
Ross,1.0,Monica Gets A Roommate,"You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her...",1.0
Joey,1.0,Monica Gets A Roommate,"What are you talking about? 'one woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, ross. There's lots of flavors out there. There's rocky road, and cookie dough, and bing! Cherry vanilla. You could get 'em with jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!",1.0
Ross,1.0,Monica Gets A Roommate,I honestly don't know if I'm hungry or horny.,1.0
Chandler,1.0,Monica Gets A Roommate,"Stay out of my freezer!scene: a restaurant, monica and paul are still eating.]",1.0
Monica,1.0,Monica Gets A Roommate,"What?..... What, you wanna spell it out with noodles?",1.0
Monica,1.0,Monica Gets A Roommate,"Oh, so there is gonna be a fifth date?",1.0
Monica,1.0,Monica Gets A Roommate,"Yeah... Yeah, I think there is. -what were you gonna say?",1.0
Monica,1.0,Monica Gets A Roommate,"Oh god, oh god, I am sorry... I am so sorry...",1.0
Monica,1.0,Monica Gets A Roommate,I know being spit on is probably not what you need right now. Um... How long?,1.0
Monica,1.0,Monica Gets A Roommate,Wow! I'm-i'm-i'm glad you smashed her watch!,1.0
Monica,1.0,Monica Gets A Roommate,"...yeah. Yeah, I do.",1.0
Rachel,1.0,Monica Gets A Roommate,Oh...see... But joanne loved chachi! That's the difference!,1.0
Ross,1.0,Monica Gets A Roommate,"Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'billy, don't be a hero' mean anything to you?",1.0
Joey,1.0,Monica Gets A Roommate,"Great story! But, I uh, I gotta go, I got a date with andrea--angela--andrea... Oh man,",1.0
Chandler,1.0,Monica Gets A Roommate,"Angela's the screamer, andrea has cats.",1.0
Joey,1.0,Monica Gets A Roommate,Right. Thanks. It's june. I'm outta here.,1.0
Ross,1.0,Monica Gets A Roommate,"Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... Who am I gonna ask?",1.0
Rachel,1.0,Monica Gets A Roommate,"Isn't this amazing? I mean, I have never made coffee before in my entire life.",1.0
Chandler,1.0,Monica Gets A Roommate,That is amazing.,1.0
Joey,1.0,Monica Gets A Roommate,Congratulations.,1.0
Rachel,1.0,Monica Gets A Roommate,"Y'know, I figure if I can make coffee, there isn't anything I can't do.",1.0
Chandler,1.0,Monica Gets A Roommate,"If can invade poland, there isn't anything I can't do.",1.0
Joey,1.0,Monica Gets A Roommate,"Listen, while you're on a roll, if you feel like you gotta make like a western omelet or something... Although actually I'm really not that hungry...",1.0
Monica,1.0,Monica Gets A Roommate,"Oh good, lenny and squigy are here.",1.0
Joey,1.0,Monica Gets A Roommate,"Morning, paul.",1.0
Rachel,1.0,Monica Gets A Roommate,"Hello, paul.",1.0
Chandler,1.0,Monica Gets A Roommate,"Hi, paul, is it?",1.0
Monica,1.0,Monica Gets A Roommate,We'll talk later.,1.0
Joey,1.0,Monica Gets A Roommate,That wasn't a real date?! What the hell do you do on a real date?,1.0
Monica,1.0,Monica Gets A Roommate,"Shut up, and put my table back.",1.0
Chandler,1.0,Monica Gets A Roommate,"All right, kids, I gotta get to work. If I don't input those numbers,... It doesn't make much of a difference...",1.0
Rachel,1.0,Monica Gets A Roommate,"So, like, you guys all have jobs?",1.0
Monica,1.0,Monica Gets A Roommate,"Yeah, we all have jobs. See, that's how we buy stuff.",1.0
Joey,1.0,Monica Gets A Roommate,"Yeah, I'm an actor.",1.0
Rachel,1.0,Monica Gets A Roommate,Wow! Would I have seen you in anything?,1.0
Joey,1.0,Monica Gets A Roommate,I doubt it. Mostly regional work.,1.0
Monica,1.0,Monica Gets A Roommate,"Oh wait, wait, unless you happened to catch the reruns' production of pinocchio, at the little theater in the park.",1.0
Joey,1.0,Monica Gets A Roommate,"Look, it was a job all right?",1.0
Chandler,1.0,Monica Gets A Roommate,"'look, gippetto, I'm a real live boy.'",1.0
Joey,1.0,Monica Gets A Roommate,I will not take this abuse.,1.0
Chandler,1.0,Monica Gets A Roommate,"You're right, I'm sorry. ""once I was a wooden boy, a little wooden boy...""",1.0
Joey,1.0,Monica Gets A Roommate,"You should both know, that he's a dead man. Oh, chandler?",1.0
Monica,1.0,Monica Gets A Roommate,So how you doing today? Did you sleep okay? Talk to barry? I can't stop smiling.,1.0
Rachel,1.0,Monica Gets A Roommate,I can see that. You look like you slept with a hanger in your mouth.,1.0
Monica,1.0,Monica Gets A Roommate,"I know, he's just so, so... Do you remember you and tony demarco?",1.0
Monica,1.0,Monica Gets A Roommate,"Well, it's like that. With feelings.",1.0
Rachel,1.0,Monica Gets A Roommate,Oh wow. Are you in trouble.,1.0
Rachel,1.0,Monica Gets A Roommate,Want a wedding dress? Hardly used.,1.0
Monica,1.0,Monica Gets A Roommate,"I think we are getting a little ahead of selves here. Okay. Okay. I am just going to get up, go to work and not think about him all day. Or else I'm just gonna get up and go to work.",1.0
Rachel,1.0,Monica Gets A Roommate,"Oh, look, wish me luck!",1.0
Rachel,1.0,Monica Gets A Roommate,I'm gonna go get one of those job things.,1.0
Monica,1.0,Monica Gets A Roommate,"Hey frannie, welcome back! How was florida?",1.0
Monica,1.0,Monica Gets A Roommate,How do you do that?,1.0
Monica,1.0,Monica Gets A Roommate,You know paul?,1.0
Monica,1.0,Monica Gets A Roommate,You mean you know paul like I know paul?,1.0
Joey,1.0,Monica Gets A Roommate,Of course it was a line!,1.0
Monica,1.0,Monica Gets A Roommate,"Why?! Why? Why, why would anybody do something like that?",1.0
Ross,1.0,Monica Gets A Roommate,I assume we're looking for an answer more sophisticated than 'to get you into bed'.,1.0
Monica,1.0,Monica Gets A Roommate,I hate men! I hate men!,1.0
Phoebe,1.0,Monica Gets A Roommate,"Oh no, don't hate, you don't want to put that out into the universe.",1.0
Monica,1.0,Monica Gets A Roommate,Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?,1.0
Phoebe,1.0,Monica Gets A Roommate,"All right, c'mere, gimme your feet.",1.0
Monica,1.0,Monica Gets A Roommate,"I just thought he was nice, y'know?",1.0
Joey,1.0,Monica Gets A Roommate,I can't believe you didn't know it was a line!,1.0
Ross,1.0,Monica Gets A Roommate,You got a job?,1.0
Rachel,1.0,Monica Gets A Roommate,Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.,1.0
Chandler,1.0,Monica Gets A Roommate,And yet you're surprisingly upbeat.,1.0
Rachel,1.0,Monica Gets A Roommate,"You would be too if you found john and david boots on sale, fifty percent off!",1.0
Chandler,1.0,Monica Gets A Roommate,"Oh, how well you know me...",1.0
Rachel,1.0,Monica Gets A Roommate,"They're my new 'i don't need a job, I don't need my parents, I've got great boots' boots!",1.0
Monica,1.0,Monica Gets A Roommate,How'd you pay for them?,1.0
Rachel,1.0,Monica Gets A Roommate,"Uh, credit card.",1.0
Monica,1.0,Monica Gets A Roommate,And who pays for that?,1.0
Rachel,1.0,Monica Gets A Roommate,Um... My... Father.,1.0
Rachel,1.0,Monica Gets A Roommate,"Oh god, come on you guys, is this really necessary? I mean, I can stop charging anytime I want.",1.0
Monica,1.0,Monica Gets A Roommate,"C'mon, you can't live off your parents your whole life.",1.0
Rachel,1.0,Monica Gets A Roommate,I know that. That's why I was getting married.,1.0
Phoebe,1.0,Monica Gets A Roommate,"Give her a break, it's hard being on your own for the first time.",1.0
Phoebe,1.0,Monica Gets A Roommate,"You're welcome. I remember when I first came to this city. I was fourteen. My mom had just killed herself and my step-dad was back in prison, and I got here, and I didn't know anybody. And I ended up living with this albino guy who was, like, cleaning windshields outside port authority, and then he killed himself, and then I found aromatherapy. So believe me, I know exactly how you feel.",1.0
Ross,1.0,Monica Gets A Roommate,The word you're looking for is 'anyway'...,1.0
Monica,1.0,Monica Gets A Roommate,"All right, you ready?",1.0
Rachel,1.0,Monica Gets A Roommate,"No. No, no, I'm not ready! How can I be ready? ""hey, rach! You ready to jump out the airplane without your parachute?"" come on, I can't do this!",1.0
Monica,1.0,Monica Gets A Roommate,"You can, I know you can!",1.0
Rachel,1.0,Monica Gets A Roommate,I don't think so.,1.0
Ross,1.0,Monica Gets A Roommate,"Come on, you made coffee! You can do anything!",1.0
Ross,1.0,Monica Gets A Roommate,"C'mon, cut. Cut, cut, cut,...",1.0
Rachel,1.0,Monica Gets A Roommate,Y'know what? I think we can just leave it at that. It's kinda like a symbolic gesture...,1.0
Monica,1.0,Monica Gets A Roommate,Rachel! That was a library card!,1.0
Chandler,1.0,Monica Gets A Roommate,"Y'know, if you listen closely, you can hear a thousand retailers scream.",1.0
Monica,1.0,Monica Gets A Roommate,Welcome to the real world! It sucks. You're gonna love it!,1.0
Monica,1.0,Monica Gets A Roommate,"Well, that's it you gonna crash on the couch?",1.0
Ross,1.0,Monica Gets A Roommate,"No. No, I gotta go home sometime.",1.0
Monica,1.0,Monica Gets A Roommate,You be okay?,1.0
Rachel,1.0,Monica Gets A Roommate,"Hey mon, look what I just found on the floor. What?",1.0
Monica,1.0,Monica Gets A Roommate,"That's paul's watch. You just put it back where you found it. Oh boy. Alright. Goodnight, everybody.",1.0
Ross,1.0,Monica Gets A Roommate,"Mmm. Oh, no-",1.0
Ross,1.0,Monica Gets A Roommate,"No no no, go-",1.0
Rachel,1.0,Monica Gets A Roommate,"No, you have it, really, I don't want it-",1.0
Ross,1.0,Monica Gets A Roommate,"Okay. You know you probably didn't know this, but back in high school, I had a, um, major crush on you.",1.0
Ross,1.0,Monica Gets A Roommate,You did! Oh.... I always figured you just thought I was monica's geeky older brother.,1.0
Ross,1.0,Monica Gets A Roommate,"Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe?",1.0
Rachel,1.0,Monica Gets A Roommate,"Yeah, maybe...",1.0
Ross,1.0,Monica Gets A Roommate,"Okay... Okay, maybe I will...",1.0
Monica,1.0,Monica Gets A Roommate,"See ya.... Waitwait, what's with you?",1.0
Ross,1.0,Monica Gets A Roommate,I just grabbed a spoon.,1.0
Joey,1.0,Monica Gets A Roommate,I can't believe what I'm hearing here.,1.0
Phoebe,1.0,Monica Gets A Roommate,I can't believe what I'm hearing here...,1.0
Monica,1.0,Monica Gets A Roommate,What? I-i said you had a-,1.0
Phoebe,1.0,Monica Gets A Roommate,What I said you had...,1.0
Monica,1.0,Monica Gets A Roommate,Would you stop?,1.0
Phoebe,1.0,Monica Gets A Roommate,"Oh, was I doing it again?",1.0
Monica,1.0,Monica Gets A Roommate,"I said that you had a nice butt, it's just not a great butt.",1.0
Joey,1.0,Monica Gets A Roommate,"Oh, you wouldn't know a great butt if it came up and bit ya.",1.0
Ross,1.0,Monica Gets A Roommate,There's an image.,1.0
Rachel,1.0,Monica Gets A Roommate,Would anybody like more coffee?,1.0
Chandler,1.0,Monica Gets A Roommate,"Did you make it, or are you just serving it?",1.0
Rachel,1.0,Monica Gets A Roommate,I'm just serving it.,1.0
Chandler,1.0,Monica Gets A Roommate,"Kids, new dream... I'm in las vegas.",1.0
Rachel,1.0,Monica Gets A Roommate,"Ugh. Excuse me, could you give this to that guy over there? Go ahead. Thank you. Sorry. Okay, las vegas.",1.0
Chandler,1.0,Monica Gets A Roommate,"Okay, so, I'm in las vegas... I'm liza minelli-",1.0
Monica,2.0,The Sonogram At The End,"What you guys don't understand is, for us, kissing is as important as any part of it.",1.0
Joey,2.0,The Sonogram At The End,"Yeah, right!.......y'serious?",1.0
Rachel,2.0,The Sonogram At The End,Everything you need to know is in that first kiss.,1.0
Chandler,2.0,The Sonogram At The End,"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before pink floyd comes out.",1.0
Ross,2.0,The Sonogram At The End,"Yeah, and-and it's not that we don't like the comedian, it's that-that... That's not why we bought the ticket.",1.0
Chandler,2.0,The Sonogram At The End,"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... Basically just trying to stay awake.",1.0
Rachel,2.0,The Sonogram At The End,"Yeah, well, word of advice: bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",1.0
Joey,2.0,The Sonogram At The End,....are we still talking about sex?,1.0
Ross,2.0,The Sonogram At The End,"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?",1.0
Ross,2.0,The Sonogram At The End,"Marsha, these are cave people. Okay? They have issues like 'gee, that glacier's getting kinda close.' see?",1.0
Ross,2.0,The Sonogram At The End,"Okay, okay, yes, it is. How about I'll, uh, catch up with you in the ice age.",1.0
Ross,2.0,The Sonogram At The End,"You look great. I, uh... I hate that.",1.0
Ross,2.0,The Sonogram At The End,"Ah, well, in here, anyone who... Stands erect... So what's new? Still, uh...",1.0
Ross,2.0,The Sonogram At The End,"Well... You never know. How's, um.. How's the family?",1.0
Ross,2.0,The Sonogram At The End,"Why- why are you here, carol?",1.0
Chandler,2.0,The Sonogram At The End,"Oh, I think this is the episode of three's company where there's some kind of misunderstanding.",1.0
Phoebe,2.0,The Sonogram At The End,...then I've already seen this one!,1.0
Monica,2.0,The Sonogram At The End,Are you through with that?,1.0
Joey,2.0,The Sonogram At The End,"Yeah, sorry, the swallowing slowed me down.",1.0
Monica,2.0,The Sonogram At The End,Whose little ball of paper is this?!,1.0
Chandler,2.0,The Sonogram At The End,"Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and... ...now I wish I was dead.",1.0
Phoebe,2.0,The Sonogram At The End,"She's already fluffed that pillow... Monica, you know, you've already fluffed that- -but, it's fine!",1.0
Monica,2.0,The Sonogram At The End,"Look , I'm sorry, guys, I just don't wanna give them any more ammunition than they already have.",1.0
Chandler,2.0,The Sonogram At The End,"Yes, and we all know how cruel a parent can be about the flatness of a child's pillow.",1.0
Phoebe,2.0,The Sonogram At The End,"Monica- hi! Um, monica, you're scaring me. I mean, you're like, you're like all chaotic and twirly. And not-not in a good way.",1.0
Joey,2.0,The Sonogram At The End,"Yeah, calm down. You don't see ross getting all chaotic and twirly every time they come.",1.0
Monica,2.0,The Sonogram At The End,"That's because as far as my parents are concerned, ross can do no wrong. Y'see, he's the prince. Apparently they had some big ceremony before I was born.",1.0
Chandler,2.0,The Sonogram At The End,"Ew, ew, ew, ew ew ew ew ew!",1.0
Chandler,2.0,The Sonogram At The End,Ugly naked guy got a thighmaster!,1.0
Rachel,2.0,The Sonogram At The End,Has anybody seen my engagement ring?,1.0
Phoebe,2.0,The Sonogram At The End,"Yeah, it's beautiful.",1.0
Rachel,2.0,The Sonogram At The End,"Oh god, oh god, oh god oh god oh god oh god....",1.0
Phoebe,2.0,The Sonogram At The End,"No, look, don't touch that!",1.0
Rachel,2.0,The Sonogram At The End,"Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'hi barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' oh god and now I'm gonna have to return the ring, without the ring, which makes it so much harder...",1.0
Monica,2.0,The Sonogram At The End,"Easy rach, we'll find it. Won't we!",1.0
Joey,2.0,The Sonogram At The End,"Alright, when'd'ya have it on last?",1.0
Phoebe,2.0,The Sonogram At The End,Doy! Probably right before she lost it!,1.0
Chandler,2.0,The Sonogram At The End,You don't get a lot of 'doy' these days...,1.0
Rachel,2.0,The Sonogram At The End,"I know I had it this morning, and I know I had it when I was in the kitchen with...",1.0
Rachel,2.0,The Sonogram At The End,"Ohhhhh, don't be mad...",1.0
Rachel,2.0,The Sonogram At The End,"Oh, I am sorry...",1.0
Monica,2.0,The Sonogram At The End,I gave you one job!,1.0
Rachel,2.0,The Sonogram At The End,"Oh, but look how straight those noodles are!",1.0
